EkipmanNo,KoruyucuNumarasi,AnaBilimDali,Birim,KoruyucuCinsi,KursunEsdegeri,HizmetYili,Bedeni,KontrolTarihi,Durum,Aciklama,VarsaDemirbasNo,KayitTarih,Barkod,sync_status,updated_at
RKE-TK-101,,Radyoloji ABD,Radyoloji Depo,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-102,ORT-AML-TK-1,Ortopedi ve Travmatoloji ABD,Ameliyathane,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-103,ORT-AML-TK-2,Ortopedi ve Travmatoloji ABD,Ameliyathane,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-104,,Radyoloji ABD,Radyoloji Depo,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-105,RAD-ANJ-TK-1,Radyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-106,ORT-AML-TK-3,Ortopedi ve Travmatoloji ABD,Ameliyathane,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-107,ANZ-SRV-TK-10,Anesteziyoloji ve Reanimasyon ABD,Algoloji Servis,Tiroid Koruyucu,,2019,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-107; Koruyucu No: ANZ-SRV-TK-10; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-TK-108,ANZ-SRV-TK-11,Anesteziyoloji ve Reanimasyon ABD,Algoloji Servis,Tiroid Koruyucu,,2019,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-108; Koruyucu No: ANZ-SRV-TK-11; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-TK-109,ANZ-SRV-TK-12,Anesteziyoloji ve Reanimasyon ABD,Algoloji Servis,Tiroid Koruyucu,,2019,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-109; Koruyucu No: ANZ-SRV-TK-12; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-TK-11,MDK-RAD-TK-2,Mediko Sosyal Başhekimliği,Poliklinik,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-110,ANZ-SRV-TK-13,Anesteziyoloji ve Reanimasyon ABD,Algoloji Servis,Tiroid Koruyucu,,2019,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-110; Koruyucu No: ANZ-SRV-TK-13; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-TK-111,ANZ-SRV-TK-14,Anesteziyoloji ve Reanimasyon ABD,Algoloji Servis,Tiroid Koruyucu,,2019,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-111; Koruyucu No: ANZ-SRV-TK-14; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-TK-112,ANZ-SRV-TK-15,Anesteziyoloji ve Reanimasyon ABD,Algoloji Servis,Tiroid Koruyucu,,2024,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-112; Koruyucu No: ANZ-SRV-TK-15; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-TK-113,ANZ-SRV-TK-16,Anesteziyoloji ve Reanimasyon ABD,Algoloji Servis,Tiroid Koruyucu,,2024,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-113; Koruyucu No: ANZ-SRV-TK-16; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-TK-114,ANZ-SRV-TK-17,Anesteziyoloji ve Reanimasyon ABD,Algoloji Servis,Tiroid Koruyucu,,2024,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-114; Koruyucu No: ANZ-SRV-TK-17; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-TK-115,ANZ-SRV-TK-18,Anesteziyoloji ve Reanimasyon ABD,Algoloji Servis,Tiroid Koruyucu,,2024,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-115; Koruyucu No: ANZ-SRV-TK-18; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
